,Year,Cluster,Size,Features
130,2008,2.0,2872.0,"['users', 'site', 'facebook', 'twitter', 'service', 'company', 'music', 'myspace', 'people', 'network']"
131,2008,3.0,1413.0,"['apple', 'iphone', 'store', 'app', 'itunes', 'device', 'ipod', 'phone', 'application', 'jobs']"
132,2008,4.0,983.0,"['google', 'search', 'yahoo', 'results', 'engine', 'ads', 'deal', 'company', 'search engine', 'microsoft']"
133,2008,5.0,2685.0,"['company', 'round', 'capital', 'venture', 'ventures', 'partners', 'funding', 'companies', 'investors', 'technology']"
134,2008,6.0,13215.0,"['time', 'video', 'you', 're', 'phone', 'people', 'year', 'll', 'way', 'thing']"
135,2008,0.0,12023.0,"['time', 'you', 'video', 're', 'people', 'll', 'year', 'price', 'way', 'tv']"
136,2008,1.0,2303.0,"['company', 'round', 'capital', 'venture', 'ventures', 'funding', 'partners', 'investors', 'companies', 'technology']"
137,2008,2.0,740.0,"['game', 'games', 'gamers', 'company', 'world', 'players', 'play', 'time', 'people', 'year']"
138,2008,3.0,1259.0,"['phone', 'phones', 'cell', 'device', 'service', 'cell phone', 'camera', 'iphone', 'sprint', 'mobile']"
139,2008,4.0,109.0,"['pp', 'pp image', 'thumb pp', 'thumb', 'image', 'image photopress', 'jpg thumb', 'photopress', 'photopress jpg', 'jpg']"
140,2008,5.0,3243.0,"['users', 'site', 'facebook', 'twitter', 'service', 'company', 'music', 'people', 'myspace', 'network']"
141,2008,6.0,1358.0,"['apple', 'iphone', 'store', 'app', 'itunes', 'device', 'ipod', 'jobs', 'application', 'version']"
142,2008,7.0,996.0,"['search', 'google', 'yahoo', 'results', 'engine', 'deal', 'company', 'search engine', 'microsoft', 'ads']"
143,2008,0.0,2363.0,"['company', 'round', 'capital', 'venture', 'ventures', 'funding', 'partners', 'companies', 'investors', 'technology']"
144,2008,1.0,12473.0,"['time', 'you', 're', 'phone', 'people', 'year', 'll', 'video', 'way', 'thing']"
145,2008,2.0,749.0,"['game', 'games', 'gamers', 'company', 'world', 'play', 'players', 'time', 'people', 'year']"
146,2008,3.0,994.0,"['search', 'google', 'yahoo', 'results', 'engine', 'deal', 'company', 'microsoft', 'ads', 'search engine']"
147,2008,4.0,1334.0,"['apple', 'iphone', 'store', 'app', 'device', 'itunes', 'ipod', 'phone', 'jobs', 'application']"
148,2008,5.0,1052.0,"['music', 'video', 'tv', 'http', 'blip', 'blip tv', 'videos', 'site', 'youtube', 'service']"
149,2008,6.0,2633.0,"['users', 'facebook', 'site', 'twitter', 'service', 'company', 'people', 'network', 'data', 'sites']"
150,2008,7.0,324.0,"['ray', 'blu', 'blu ray', 'dvd', 'hd', 'player', 'hd dvd', 'ray player', 'show', 'players']"
